INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTIDX,BANKNIFTY,23-Feb-2023,0,XX,41644.85,41733,41230,41381.9,41381.9,112293,1162828.1,2458900,199225,13-Feb-2023
FUTIDX,BANKNIFTY,29-Mar-2023,0,XX,41864.95,41940,41475,41604,41604,7067,73564.8,304450,21375,13-Feb-2023
FUTIDX,BANKNIFTY,27-Apr-2023,0,XX,42019.95,42102.95,41636.1,41776.4,41776.4,1873,19578.31,106600,4575,13-Feb-2023
FUTIDX,FINNIFTY,28-Feb-2023,0,XX,18565.2,18584.4,18428,18497.45,18497.45,682,5045.26,13400,120,13-Feb-2023
FUTIDX,FINNIFTY,28-Mar-2023,0,XX,18545.35,18603.2,18545.35,18592.4,18592.4,6,44.61,960,0,13-Feb-2023
FUTIDX,FINNIFTY,25-Apr-2023,0,XX,18691.6,18749.95,18672,18749.95,18749.95,4,29.92,360,0,13-Feb-2023
FUTIDX,MIDCPNIFTY,14-Feb-2023,0,XX,0,0,0,7178.65,6982.35,0,0,0,0,13-Feb-2023
FUTIDX,MIDCPNIFTY,21-Feb-2023,0,XX,0,0,0,7039.75,6991.6,0,0,0,0,13-Feb-2023
FUTIDX,MIDCPNIFTY,28-Feb-2023,0,XX,0,0,0,6878.5,7000.9,0,0,0,0,13-Feb-2023
FUTIDX,MIDCPNIFTY,06-Mar-2023,0,XX,0,0,0,7077.45,7008.85,0,0,0,0,13-Feb-2023
FUTIDX,MIDCPNIFTY,14-Mar-2023,0,XX,0,0,0,7029.95,7019.5,0,0,0,0,13-Feb-2023
FUTIDX,MIDCPNIFTY,28-Mar-2023,0,XX,0,0,0,7282.85,7040.15,0,0,0,0,13-Feb-2023
FUTIDX,MIDCPNIFTY,25-Apr-2023,0,XX,0,0,0,7045.15,7078.95,0,0,0,0,13-Feb-2023
FUTIDX,NIFTY,23-Feb-2023,0,XX,17852.05,17900.5,17745,17801.85,17801.85,128903,1147240.91,10691200,413700,13-Feb-2023
FUTIDX,NIFTY,29-Mar-2023,0,XX,17977.55,17997.35,17853.2,17902,17902,10209,91389.99,1180350,15900,13-Feb-2023
FUTIDX,NIFTY,27-Apr-2023,0,XX,18054.95,18080,17941,17991.45,17991.45,2966,26680.36,351400,33950,13-Feb-2023
FUTSTK,AARTIIND,23-Feb-2023,0,XX,546.8,549.4,537.25,539.85,539.85,792,3646.01,3992450,45900,13-Feb-2023
FUTSTK,AARTIIND,29-Mar-2023,0,XX,546.7,550,538.6,540.55,540.55,189,871.67,556750,61200,13-Feb-2023
FUTSTK,AARTIIND,27-Apr-2023,0,XX,544.15,545,541,541,541,7,32.34,31450,850,13-Feb-2023
FUTSTK,ABB,23-Feb-2023,0,XX,3179.95,3214.95,3000.05,3080.75,3080.75,8402,65759.92,1775250,-152250,13-Feb-2023
FUTSTK,ABB,29-Mar-2023,0,XX,3197,3227,3021.45,3097.1,3097.1,308,2418.2,31250,5750,13-Feb-2023
FUTSTK,ABB,27-Apr-2023,0,XX,3053.9,3053.9,3053.9,3053.9,3123.95,7,53.44,2000,1750,13-Feb-2023
FUTSTK,ABBOTINDIA,23-Feb-2023,0,XX,20749.95,20765.4,19947.1,20274.7,20274.7,1172,9546.68,48960,-4560,13-Feb-2023
FUTSTK,ABBOTINDIA,29-Mar-2023,0,XX,20625,20725,20125,20370.2,20370.2,47,382.93,1360,0,13-Feb-2023
FUTSTK,ABBOTINDIA,27-Apr-2023,0,XX,0,0,0,21659.4,20564,0,0,0,0,13-Feb-2023
FUTSTK,ABCAPITAL,23-Feb-2023,0,XX,147.5,148.2,142.95,144.1,144.1,945,7389.16,31174200,-248400,13-Feb-2023
FUTSTK,ABCAPITAL,29-Mar-2023,0,XX,147.6,147.6,144.05,145.1,145.1,48,377.22,1366200,27000,13-Feb-2023
FUTSTK,ABCAPITAL,27-Apr-2023,0,XX,145.45,145.85,145.45,145.85,145.85,3,23.6,102600,16200,13-Feb-2023
FUTSTK,ABFRL,23-Feb-2023,0,XX,254.9,257.5,247.6,248.5,248.5,1736,11382.08,19445400,499200,13-Feb-2023
FUTSTK,ABFRL,29-Mar-2023,0,XX,254.9,259,249.3,250,250,238,1567.03,967200,189800,13-Feb-2023
FUTSTK,ABFRL,27-Apr-2023,0,XX,258,258,252.35,251,251,4,26.28,20800,10400,13-Feb-2023
FUTSTK,ACC,23-Feb-2023,0,XX,1880.15,1909,1803,1828.7,1828.7,7297,33559.33,3703500,53750,13-Feb-2023
FUTSTK,ACC,29-Mar-2023,0,XX,1913.25,1920,1816.4,1840.7,1840.7,530,2450.38,213000,27000,13-Feb-2023
FUTSTK,ACC,27-Apr-2023,0,XX,1896.1,1896.1,1826.4,1850.6,1850.6,95,438.89,56000,3000,13-Feb-2023
FUTSTK,ADANIENT,23-Feb-2023,0,XX,1842.1,1921.8,1651,1720.6,1720.6,55087,241966.74,10063500,172750,13-Feb-2023
FUTSTK,ADANIENT,29-Mar-2023,0,XX,1865,1926,1666.05,1725.85,1725.85,5003,21965.39,1827500,171000,13-Feb-2023
FUTSTK,ADANIENT,27-Apr-2023,0,XX,1896.25,1930.1,1678.35,1729.8,1729.8,639,2797.5,213250,17000,13-Feb-2023
FUTSTK,ADANIPORTS,23-Feb-2023,0,XX,589.75,597.25,537.95,553.9,553.9,30056,105581.47,53459375,-96250,13-Feb-2023
FUTSTK,ADANIPORTS,29-Mar-2023,0,XX,593,600.1,541.95,557.4,557.4,3213,11296.35,4051250,391250,13-Feb-2023
FUTSTK,ADANIPORTS,27-Apr-2023,0,XX,602.8,602.8,546.15,561.3,561.3,557,1953.73,594375,196250,13-Feb-2023
FUTSTK,ALKEM,23-Feb-2023,0,XX,3255.05,3271.65,3166.25,3232.6,3232.6,2897,18663.03,726000,-91400,13-Feb-2023
FUTSTK,ALKEM,29-Mar-2023,0,XX,3246.55,3246.55,3156.05,3208.95,3208.95,117,748.91,14800,4600,13-Feb-2023
FUTSTK,ALKEM,27-Apr-2023,0,XX,0,0,0,3270,3313.2,0,0,1200,0,13-Feb-2023
FUTSTK,AMBUJACEM,23-Feb-2023,0,XX,363.75,366.05,336.65,342.35,342.35,1903,11822.95,66452400,-3423600,13-Feb-2023
FUTSTK,AMBUJACEM,29-Mar-2023,0,XX,356.55,357.3,342,343.8,343.8,44,276.78,4888800,-79200,13-Feb-2023
FUTSTK,AMBUJACEM,27-Apr-2023,0,XX,0,0,0,390.25,347.4,0,0,482400,0,13-Feb-2023
FUTSTK,APOLLOHOSP,23-Feb-2023,0,XX,4425.95,4437,4331.05,4358.65,4358.65,3864,21192.21,1571375,-24125,13-Feb-2023
FUTSTK,APOLLOHOSP,29-Mar-2023,0,XX,4436.3,4450,4356.05,4376.85,4376.85,216,1189.34,24625,9750,13-Feb-2023
FUTSTK,APOLLOHOSP,27-Apr-2023,0,XX,4459.8,4459.8,4420,4420,4420,2,11.09,2125,250,13-Feb-2023
FUTSTK,APOLLOTYRE,23-Feb-2023,0,XX,330.4,333,329.25,331.25,331.25,1070,12407.28,12687500,175000,13-Feb-2023
FUTSTK,APOLLOTYRE,29-Mar-2023,0,XX,332.65,334.05,331,332.8,332.8,56,652.25,588000,7000,13-Feb-2023
FUTSTK,APOLLOTYRE,27-Apr-2023,0,XX,334.6,335,334.6,335,335.95,3,35.16,94500,-7000,13-Feb-2023
FUTSTK,ASHOKLEY,23-Feb-2023,0,XX,147.25,150.6,147,149.25,149.25,2985,22292.62,73970000,-1310000,13-Feb-2023
FUTSTK,ASHOKLEY,29-Mar-2023,0,XX,148.2,151.65,148.2,150.2,150.2,311,2337.68,2735000,-95000,13-Feb-2023
FUTSTK,ASHOKLEY,27-Apr-2023,0,XX,149.95,151.6,149.95,151.2,151.2,10,75.59,255000,-15000,13-Feb-2023
FUTSTK,ASIANPAINT,23-Feb-2023,0,XX,2815.25,2830.9,2782.6,2792.35,2792.35,4454,24940.1,7427800,-12200,13-Feb-2023
FUTSTK,ASIANPAINT,29-Mar-2023,0,XX,2841.2,2849,2801.1,2810.9,2810.9,544,3064.52,300800,23800,13-Feb-2023
FUTSTK,ASIANPAINT,27-Apr-2023,0,XX,2845.05,2845.05,2821,2830.6,2830.6,26,147.1,30000,2000,13-Feb-2023
FUTSTK,ASTRAL,23-Feb-2023,0,XX,1932.1,1939.95,1902.45,1908.15,1908.15,2438,12861.96,1928025,-8525,13-Feb-2023
FUTSTK,ASTRAL,29-Mar-2023,0,XX,1941.5,1945,1911.75,1917.4,1917.4,153,811.24,70675,6875,13-Feb-2023
FUTSTK,ASTRAL,27-Apr-2023,0,XX,1929,1939.65,1923,1934.5,1930.1,7,37.16,6050,550,13-Feb-2023
FUTSTK,ATUL,23-Feb-2023,0,XX,7191.3,7191.75,7016.25,7047.3,7047.3,636,3376.49,168450,1425,13-Feb-2023
FUTSTK,ATUL,29-Mar-2023,0,XX,7170.25,7178.3,7019.95,7039.5,7039.5,121,642.94,21900,3300,13-Feb-2023
FUTSTK,ATUL,27-Apr-2023,0,XX,7050,7050,7050,7050,7050,1,5.28,150,0,13-Feb-2023
FUTSTK,AUBANK,23-Feb-2023,0,XX,650.55,653.5,635.2,636.35,636.35,1757,11298.21,8991000,-192000,13-Feb-2023
FUTSTK,AUBANK,29-Mar-2023,0,XX,646,646,629.9,630.85,630.85,179,1137.18,578000,80000,13-Feb-2023
FUTSTK,AUBANK,27-Apr-2023,0,XX,637.5,637.5,625.7,627.2,627.2,4,25.21,10000,1000,13-Feb-2023
FUTSTK,AUROPHARMA,23-Feb-2023,0,XX,468.85,474.8,464.05,470.95,470.95,5377,25329.34,15786000,-262000,13-Feb-2023
FUTSTK,AUROPHARMA,29-Mar-2023,0,XX,471.35,477.1,467,473.35,473.35,430,2037.03,978000,67000,13-Feb-2023
FUTSTK,AUROPHARMA,27-Apr-2023,0,XX,471.75,478.5,470,475.5,475.5,30,142.53,81000,5000,13-Feb-2023
FUTSTK,AXISBANK,23-Feb-2023,0,XX,871.2,872.45,859,862.15,862.15,7297,75657.46,45987600,631200,13-Feb-2023
FUTSTK,AXISBANK,29-Mar-2023,0,XX,877.3,877.3,864.55,867.25,867.25,443,4613.99,1604400,168000,13-Feb-2023
FUTSTK,AXISBANK,27-Apr-2023,0,XX,881,881,871.2,871.95,871.95,25,262.21,97200,0,13-Feb-2023
FUTSTK,BAJAJ-AUTO,23-Feb-2023,0,XX,3850,3914.95,3832.5,3890.05,3890.05,2249,21868.65,1472750,-51750,13-Feb-2023
FUTSTK,BAJAJ-AUTO,29-Mar-2023,0,XX,3898.05,3930.5,3865,3907.4,3907.4,131,1280.64,25500,4250,13-Feb-2023
FUTSTK,BAJAJ-AUTO,27-Apr-2023,0,XX,3914,3922.3,3914,3922.3,3939.55,2,19.59,1000,0,13-Feb-2023
FUTSTK,BAJAJFINSV,23-Feb-2023,0,XX,1405.9,1416,1383.65,1392.75,1392.75,4185,29192.68,10445500,-123000,13-Feb-2023
FUTSTK,BAJAJFINSV,29-Mar-2023,0,XX,1416.7,1424.9,1394,1401.35,1401.35,503,3529.89,684500,44500,13-Feb-2023
FUTSTK,BAJAJFINSV,27-Apr-2023,0,XX,1427.15,1431.15,1408,1410.65,1410.65,29,205.16,51000,2500,13-Feb-2023
FUTSTK,BAJFINANCE,23-Feb-2023,0,XX,6440,6477.5,6313.35,6358.5,6358.5,10795,85914.67,4717625,-35625,13-Feb-2023
