INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTIDX,BANKNIFTY,29-Aug-2019,0,XX,28085.25,28118.15,27621.05,27837.65,27837.65,173399,966000.83,1307880,-40580,28-Aug-2019
FUTIDX,BANKNIFTY,26-Sep-2019,0,XX,28199.10,28199.10,27712.45,27904.15,27904.15,47556,265592.22,851620,178560,28-Aug-2019
FUTIDX,BANKNIFTY,31-Oct-2019,0,XX,28168.35,28271,27802.30,27987.05,27987.05,439,2458.65,12340,860,28-Aug-2019
FUTIDX,NIFTY,29-Aug-2019,0,XX,11102.70,11132,10983.25,11049.25,11049.25,191044,1583215.51,13695000,-1427925,28-Aug-2019
FUTIDX,NIFTY,26-Sep-2019,0,XX,11150,11168.35,11017.30,11085.15,11085.15,100623,836298.04,9629175,2552175,28-Aug-2019
FUTIDX,NIFTY,31-Oct-2019,0,XX,11150.15,11205,11060,11123.30,11123.30,1826,15230.42,434925,16200,28-Aug-2019
FUTIDX,NIFTYIT,29-Aug-2019,0,XX,15749,15868,15710,15844,15844,167,1316.73,5450,-450,28-Aug-2019
FUTIDX,NIFTYIT,26-Sep-2019,0,XX,15785,15875,15742,15846,15846,114,900.65,6950,2400,28-Aug-2019
FUTIDX,NIFTYIT,31-Oct-2019,0,XX,0,0,0,15754,16054,0,0,0,0,28-Aug-2019
FUTSTK,ACC,29-Aug-2019,0,XX,1534,1551.45,1519.35,1540.75,1540.75,3668,22536.55,386000,-640400,28-Aug-2019
FUTSTK,ACC,26-Sep-2019,0,XX,1540,1558,1526.60,1545.75,1545.75,3191,19685.90,1951200,632000,28-Aug-2019
FUTSTK,ACC,31-Oct-2019,0,XX,1544.35,1561,1542,1547.95,1547.95,14,86.62,7600,1600,28-Aug-2019
FUTSTK,ADANIENT,29-Aug-2019,0,XX,135.65,136.65,131.60,135.20,135.20,2995,16089.64,6692000,-4616000,28-Aug-2019
FUTSTK,ADANIENT,26-Sep-2019,0,XX,136.30,137.35,132.15,136.10,136.10,2302,12435.19,23724000,3860000,28-Aug-2019
FUTSTK,ADANIENT,31-Oct-2019,0,XX,135.60,136.60,134.40,135.90,135.90,5,27.16,48000,12000,28-Aug-2019
FUTSTK,ADANIPORTS,29-Aug-2019,0,XX,373.10,373.50,364.25,366.80,366.80,3155,29073.88,5642500,-3220000,28-Aug-2019
FUTSTK,ADANIPORTS,26-Sep-2019,0,XX,374.25,374.75,365.50,367.95,367.95,2256,20847.23,10915000,3040000,28-Aug-2019
FUTSTK,ADANIPORTS,31-Oct-2019,0,XX,375.45,375.45,366.75,367.30,367.30,26,241.30,225000,55000,28-Aug-2019
FUTSTK,ADANIPOWER,29-Aug-2019,0,XX,59.15,60.15,57.95,59.10,59.10,2448,28957.01,21760000,-22240000,28-Aug-2019
FUTSTK,ADANIPOWER,26-Sep-2019,0,XX,59.70,60.35,58.15,59.35,59.35,2185,25965.11,93660000,9880000,28-Aug-2019
FUTSTK,ADANIPOWER,31-Oct-2019,0,XX,60.20,60.20,59.30,59.30,59.90,3,35.76,80000,60000,28-Aug-2019
FUTSTK,AMARAJABAT,29-Aug-2019,0,XX,621.45,625,607.30,611.90,611.90,1380,5929.33,614600,-446600,28-Aug-2019
FUTSTK,AMARAJABAT,26-Sep-2019,0,XX,622.50,627.85,607,609.85,609.85,1282,5502.25,682500,280000,28-Aug-2019
FUTSTK,AMARAJABAT,31-Oct-2019,0,XX,610.55,610.55,610.55,610.55,610.55,1,4.27,3500,700,28-Aug-2019
FUTSTK,AMBUJACEM,29-Aug-2019,0,XX,197,207.40,197,205.05,205.05,2794,14315.59,4557500,-3945000,28-Aug-2019
